Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
19720901	0.382	0.130	0.0	12.5	0.74	1.81	0.0	0.00	50.8	0.0	0.0	7.6	0.000	0.000	0.382	0.373	0.010
19720902	0.367	0.120	0.5	13.9	0.72	1.77	0.0	0.00	50.4	0.1	0.0	7.4	0.000	0.000	0.367	0.357	0.009
19720903	0.355	0.110	0.3	10.8	0.69	1.71	0.0	0.00	50.0	0.1	0.0	7.1	0.000	0.000	0.355	0.346	0.009
19720904	0.347	0.110	1.3	6.1	0.66	1.64	0.0	0.00	50.3	0.4	0.0	7.2	0.000	0.000	0.347	0.338	0.009
19720905	0.341	0.110	0.0	6.8	0.64	1.60	0.0	0.00	49.6	0.0	0.0	6.8	0.000	0.000	0.341	0.333	0.008
19720906	0.327	0.110	0.0	10.4	0.62	1.58	0.0	0.00	49.0	0.0	0.0	6.5	0.000	0.000	0.327	0.319	0.008
19720907	0.338	0.110	4.3	9.4	0.62	1.53	0.0	0.00	51.5	1.1	0.5	6.8	0.000	0.017	0.321	0.330	0.008
19720908	0.364	0.110	0.4	12.5	0.62	1.50	0.0	0.00	51.2	0.1	0.0	7.0	0.000	0.032	0.332	0.357	0.008
19720909	0.339	0.110	0.0	6.6	0.58	1.43	0.0	0.00	50.6	0.0	0.0	6.7	0.000	0.004	0.335	0.332	0.007
19720910	0.397	0.110	8.9	12.9	0.61	1.42	0.0	0.00	56.3	2.6	1.8	7.0	0.000	0.066	0.331	0.390	0.007
19720911	0.596	0.140	8.1	9.1	0.64	1.35	0.0	0.00	61.0	2.7	3.5	7.3	0.000	0.253	0.343	0.589	0.008
19720912	0.714	0.200	0.3	8.2	0.64	1.31	0.0	0.00	60.6	0.1	2.6	7.6	0.000	0.357	0.357	0.705	0.008
19720913	0.656	0.210	0.3	6.5	0.61	1.26	0.0	0.00	60.2	0.1	1.9	7.8	0.000	0.286	0.370	0.648	0.008
19720914	0.595	0.210	1.3	5.7	0.58	1.21	0.0	0.00	60.5	0.5	1.5	8.1	0.000	0.212	0.382	0.588	0.007
19720915	0.548	0.210	0.0	5.7	0.56	1.17	0.0	0.00	59.9	0.0	0.8	8.3	0.000	0.154	0.394	0.542	0.007
19720916	0.483	0.210	0.2	9.1	0.54	1.14	0.0	0.00	59.5	0.1	0.2	8.6	0.000	0.077	0.406	0.477	0.006
19720917	0.432	0.210	0.0	7.4	0.52	1.10	0.0	0.00	59.0	0.0	0.0	8.3	0.000	0.022	0.410	0.426	0.006
19720918	0.406	0.210	0.9	7.8	0.51	1.07	0.0	0.00	59.1	0.3	0.0	8.3	0.000	0.002	0.404	0.400	0.006
19720919	0.395	0.210	0.0	7.8	0.49	1.05	0.0	0.00	58.6	0.0	0.0	7.9	0.000	0.000	0.395	0.389	0.005
19720920	0.378	0.190	0.0	7.1	0.47	1.02	0.0	0.00	58.1	0.0	0.0	7.5	0.000	0.000	0.378	0.373	0.005
19720921	0.362	0.190	0.4	5.1	0.46	0.98	0.0	0.00	58.0	0.1	0.0	7.3	0.000	0.000	0.362	0.357	0.005
19720922	0.354	0.190	1.0	6.6	0.44	0.96	0.0	0.00	58.2	0.3	0.0	7.3	0.000	0.000	0.354	0.350	0.005
19720923	0.349	0.180	0.2	5.6	0.43	0.93	0.0	0.00	57.9	0.1	0.0	7.0	0.000	0.000	0.349	0.345	0.004
19720924	0.338	0.170	0.3	5.7	0.42	0.90	0.0	0.00	57.7	0.1	0.0	6.8	0.000	0.000	0.338	0.333	0.004
19720925	0.330	0.170	1.0	3.8	0.40	0.87	0.0	0.00	58.0	0.3	0.0	6.8	0.000	0.000	0.330	0.326	0.004
19720926	0.326	0.170	0.2	6.2	0.39	0.84	0.0	0.00	57.8	0.1	0.0	6.6	0.000	0.000	0.326	0.322	0.004
19720927	0.314	0.170	0.0	3.3	0.37	0.81	0.0	0.00	57.4	0.0	0.0	6.3	0.000	0.000	0.314	0.310	0.004
19720928	0.300	0.160	0.0	1.3	0.35	0.77	0.0	0.00	57.0	0.0	0.0	6.0	0.000	0.000	0.300	0.296	0.004
19720929	0.286	0.140	0.0	3.1	0.34	0.75	0.0	0.00	56.7	0.0	0.0	5.7	0.000	0.000	0.286	0.282	0.003
19720930	0.273	0.140	0.0	4.2	0.33	0.73	0.0	0.00	56.4	0.0	0.0	5.4	0.000	0.000	0.273	0.269	0.003
