t [s]	QZ (l/h)	QA (l/h)
0	0	30
1	0	30
2	0	29
3	0	29
4	0	29
5	0	29
6	0	29
7	0	28
8	0	28
9	404	28
10	416	27
11	420	27
12	420	27
13	420	26
14	420	26
15	420	26
16	420	26
17	420	26
18	420	26
19	420	26
20	420	26
21	420	25
22	420	25
23	420	25
24	420	24
25	420	24
26	420	24
27	420	24
28	420	24
29	420	24
30	420	24
31	418	24
32	418	24
33	418	25
34	418	26
35	418	26
36	418	27
37	418	29
38	418	31
39	418	34
40	418	37
41	418	40
42	418	43
43	418	48
44	418	51
45	418	54
46	418	58
47	420	60
48	420	63
49	420	68
50	419	72
51	419	76
52	419	81
53	419	86
54	419	89
55	419	96
56	419	97
57	419	101
58	419	105
59	419	105
60	419	108
61	419	112
62	419	116
63	419	121
64	419	124
65	419	126
66	419	130
67	419	133
68	419	135
69	419	138
70	419	140
71	419	142
72	419	143
73	419	146
74	419	148
75	419	150
76	419	152
77	419	155
78	419	157
79	419	159
80	419	162
81	419	165
82	419	168
83	419	172
84	419	173
85	419	176
86	419	180
87	419	185
88	419	187
89	419	192
90	419	196
91	419	200
92	419	206
93	419	211
94	419	217
95	419	222
96	419	228
97	419	230
98	419	237
99	419	245
100	419	252
101	419	262
102	419	268
103	419	274
104	419	281
105	419	288
106	419	294
107	419	300
108	419	307
109	419	308
110	419	313
111	419	318
112	419	325
113	419	329
114	419	333
115	419	338
116	419	343
117	419	345
118	419	350
119	419	354
120	419	356
121	419	358
122	419	360
123	419	364
124	419	366
125	419	367
126	419	370
127	419	373
128	419	374
129	419	377
130	419	379
131	419	380
132	419	382
133	419	384
134	419	386
135	419	387
136	419	388
137	419	390
138	419	391
139	420	393
140	420	393
141	420	394
142	420	395
143	420	396
144	418	396
145	418	396
146	418	397
147	418	397
148	418	398
149	418	399
150	418	400
151	418	401
152	418	402
153	418	402
154	418	403
155	420	404
156	420	404
157	420	405
158	420	405
159	420	406
160	420	406
161	420	406
162	420	407
163	420	408
164	420	408
165	419	410
166	419	410
167	419	411
168	419	411
169	419	411
170	420	411
171	420	411
172	420	412
173	420	412
174	420	412
175	420	412
176	420	412
177	420	412
178	420	412
179	420	412
180	420	413
181	420	413
182	420	413
183	420	414
184	420	414
185	419	414
186	419	415
187	419	415
188	419	415
189	419	415
190	419	415
191	419	416
192	419	416
193	419	416
194	419	416
195	419	416
196	419	416
197	419	417
198	419	417
199	419	417
200	419	417
201	419	417
202	419	418
203	419	418
204	419	418
205	419	418
206	419	418
207	419	418
208	419	418
209	419	418
210	419	419
211	420	419
212	420	419
213	420	419
214	420	419
215	420	419
216	420	419
217	420	419
218	420	419
219	420	418
220	420	418
221	420	418
222	420	418
223	420	418
224	420	418
225	420	418
226	420	418
227	420	418
228	420	418
229	420	418
230	420	418
231	420	418
232	420	419
233	420	419
234	420	419
235	420	419
236	420	419
237	420	419
238	420	419
239	420	419
240	420	419
241	420	419
242	420	420
243	420	420
244	420	420
245	420	420
246	420	420
247	420	420
248	420	420
249	420	420
250	420	420
251	420	420
252	420	420
253	419	420
254	419	420
255	0	420
256	0	420
257	0	420
258	0	420
259	0	420
260	0	420
261	0	420
262	0	420
263	0	420
264	0	420
265	0	420
266	0	420
267	0	420
268	0	419
269	0	419
270	0	419
271	0	419
272	0	419
273	0	418
274	0	417
275	0	416
276	0	412
277	0	410
278	0	405
279	0	404
280	0	398
281	0	396
282	0	388
283	0	378
284	0	376
285	0	370
286	0	360
287	0	353
288	0	343
289	0	335
290	0	327
291	0	319
292	0	310
293	0	302
294	0	294
295	0	284
296	0	281
297	0	273
298	0	266
299	0	258
300	0	251
301	0	244
302	0	238
303	0	231
304	0	224
305	0	219
306	0	213
